,Gross domestic product 2015,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
ISL,111,,Iceland," 16,780 ",,,,,
BIH,112,,Bosnia and Herzegovina," 16,192 ",,,,,
MOZ,113,,Mozambique," 14,807 ",,,,,
ZWE,114,,Zimbabwe," 14,419 ",,,,,
BWA,115,,Botswana," 14,390 ",,,,,
JAM,116,,Jamaica," 14,262 ",,,,,
GAB,117,,Gabon," 14,262 ",,,,,
GEO,118,,Georgia," 13,965 ",f,,,,
SEN,119,,Senegal," 13,610 ",,,,,
BRN,120,,Brunei Darussalam," 12,930 ",,,,,
MLI,121,,Mali," 12,747 ",,,,,
NIC,122,,Nicaragua," 12,693 ",,,,,
PSE,123,,West Bank and Gaza," 12,677 ",,,,,
LAO,124,,Lao PDR," 12,369 ",,,,,
GNQ,125,,Equatorial Guinea," 12,202 ",,,,,
MNG,126,,Mongolia," 11,741 ",,,,,
MUS,127,,Mauritius," 11,682 ",,,,,
NAM,128,,Namibia," 11,492 ",,,,,
ALB,129,,Albania," 11,398 ",,,,,
TCD,130,,Chad," 10,889 ",,,,,
BFA,131,,Burkina Faso," 10,678 ",,,,,
ARM,132,,Armenia," 10,529 ",,,,,
MKD,133,,"Macedonia, FYR"," 10,086 ",,,,,
MLT,134,,Malta," 9,746 ",,,,,
MDG,135,,Madagascar," 9,739 ",,,,,
SSD,136,,South Sudan," 9,015 ",,,,,
BHS,137,,"Bahamas, The"," 8,854 ",,,,,
HTI,138,,Haiti," 8,765 ",,,,,
COG,139,,"Congo, Rep."," 8,553 ",,,,,
BEN,140,,Benin," 8,291 ",,,,,
RWA,141,,Rwanda," 8,096 ",,,,,
TJK,142,,Tajikistan," 7,853 ",,,,,
IMN,143,,Isle of Man," 7,428 ",,,,,
NER,144,,Niger," 7,143 ",,,,,
GIN,145,,Guinea," 6,699 ",,,,,
LIE,146,,Liechtenstein," 6,664 ",,,,,
KGZ,147,,Kyrgyz Republic," 6,572 ",,,,,
MDA,148,,Moldova," 6,568 ",g,,,,
MWI,149,,Malawi," 6,404 ",,,,,
XKX,150,,Kosovo," 6,401 ",,,,,
SOM,151,,Somalia," 5,925 ",,,,,
GUM,152,,Guam," 5,734 ",,,,,
BMU,153,,Bermuda," 5,574 ",,,,,
MRT,154,,Mauritania," 5,442 ",,,,,
SUR,155,,Suriname," 5,150 ",,,,,
FJI,156,,Fiji," 4,426 ",,,,,
BRB,157,,Barbados," 4,385 ",,,,,
SLE,158,,Sierra Leone," 4,215 ",,,,,
SWZ,159,,Swaziland," 4,118 ",,,,,
TGO,160,,Togo," 4,088 ",,,,,
MNE,161,,Montenegro," 3,987 ",,,,,
VIR,162,,Virgin Islands (U.S.)," 3,765 ",,,,,
MDV,163,,Maldives," 3,435 ",,,,,
AND,164,,Andorra," 3,249 ",,,,,
GUY,165,,Guyana," 3,166 ",,,,,
BDI,166,,Burundi," 3,097 ",,,,,
FRO,167,,Faroe Islands," 2,613 ",,,,,
GRL,168,,Greenland," 2,441 ",,,,,
LSO,169,,Lesotho," 2,278 ",,,,,
BTN,170,,Bhutan," 2,058 ",,,,,
LBR,171,,Liberia," 2,053 ",,,,,
BLZ,172,,Belize," 1,753 ",,,,,
DJI,173,,Djibouti," 1,727 ",,,,,
CPV,174,,Cabo Verde," 1,603 ",,,,,
CAF,175,,Central African Republic," 1,584 ",,,,,
TLS,176,,Timor-Leste," 1,442 ",,,,,
SYC,177,,Seychelles," 1,438 ",,,,,
LCA,178,,St. Lucia," 1,431 ",,,,,
ATG,179,,Antigua and Barbuda," 1,259 ",,,,,
SLB,180,,Solomon Islands," 1,129 ",,,,,
GNB,181,,Guinea-Bissau," 1,057 ",,,,,
GRD,182,,Grenada, 984 ,,,,,
GMB,183,,"Gambia, The", 939 ,,,,,
MNP,184,,Northern Mariana Islands, 922 ,,,,,
KNA,185,,St. Kitts and Nevis, 876 ,,,,,
WSM,186,,Samoa, 761 ,,,,,
VUT,187,,Vanuatu, 742 ,,,,,
VCT,188,,St. Vincent and the Grenadines, 738 ,,,,,
ASM,189,,American Samoa, 641 ,,,,,
COM,190,,Comoros, 566 ,,,,,
DMA,191,,Dominica, 517 ,,,,,
TON,192,,Tonga, 435 ,,,,,
STP,193,,São Tomé and Principe, 318 ,,,,,
FSM,194,,"Micronesia, Fed. Sts.", 315 ,,,,,
PLW,195,,Palau, 287 ,,,,,
MHL,196,,Marshall Islands, 179 ,,,,,
KIR,197,,Kiribati, 160 ,,,,,
NRU,198,,Nauru, 100 ,,,,,
TUV,199,,Tuvalu, 33 ,,,,,
,,,,,,,,,
ABW,,,Aruba, .. ,,,,,
VGB,,,British Virgin Islands, .. ,,,,,
CYM,,,Cayman Islands, .. ,,,,,
CHI,,,Channel Islands, .. ,,,,,
CUW,,,Curaçao, .. ,,,,,
ERI,,,Eritrea, .. ,,,,,
PYF,,,French Polynesia, .. ,,,,,
GIB,,,Gibraltar, .. ,,,,,
PRK,,,"Korea, Dem. People's Rep.", .. ,,,,,
LBY,,,Libya, .. ,,,,,
MCO,,,Monaco, .. ,,,,,
NCL,,,New Caledonia, .. ,,,,,
SMR,,,San Marino, .. ,,,,,
SXM,,,Sint Maarten (Dutch part), .. ,,,,,
MAF,,,St. Martin (French part), .. ,,,,,
SYR,,,Syrian Arab Republic, .. ,,,,,
TCA,,,Turks and Caicos Islands, .. ,,,,,
VEN,,,"Venezuela, RB", .. ,,,,,
,,,,,,,,,
WLD,,,World,"74,188,701",,,,,
,,,,,,,,,
EAS,,,East Asia & Pacific,"21,680,001",,,,,
ECS,,,Europe & Central Asia,"20,080,050",,,,,
LCN,,,Latin America & Caribbean,"5,326,923",,,,,
MEA,,,Middle East & North Africa,"3,141,081",,,,,
NAC,,,North America,"19,595,347",,,,,
SAS,,,South Asia,"2,689,862",,,,,
SSF,,,Sub-Saharan Africa,"1,590,036",,,,,
LIC,,,Low income,"394,274",,,,,
LMC,,,Lower middle income,"5,861,047",,,,,
UMC,,,Upper middle income,"20,523,702",,,,,
HIC,,,High income,"47,417,015",,,,,
,,,,,,,,,
,.. Not available.  ,,,,,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2014 or 2013.,,,,,,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b . Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,,,,,,
,,,,,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
